track_name,track_id,artist_name,album_name,release_date,artist_genre,popularity,Duration (ms),Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
you broke me first,4l0RmWt52FxpVxMNni6i63,Tate McRae,TOO YOUNG TO BE SAD,2021-03-26,"['alt z', 'pop']",86,170226,0.798,0.66,0.379,0.0,4,0.0913,-9.357,1,0.0543,124.027,4,0.0762
Falling,1ZMiCix7XSAbfAJlEZWMCp,Harry Styles,Fine Line,2019-12-13,['pop'],86,240133,0.839,0.567,0.267,1.46e-06,4,0.089,-6.502,1,0.0299,110.011,4,0.0592
People,26b3oVLrRUaaybJulow9kz,Libianca,People,2022-12-06,['afrobeats'],85,184791,0.551,0.573,0.422,1.31e-05,10,0.102,-7.621,0,0.0678,124.357,5,0.693
traitor,5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,SOUR,2021-05-21,['pop'],89,229226,0.691,0.38,0.339,0.0,3,0.12,-7.885,1,0.0338,100.607,4,0.0849
Nobody Gets Me,5Y35SjAfXjjG0sFQ3KOxmm,SZA,SOS,2022-12-09,"['pop', 'r&b', 'rap']",86,180853,0.805,0.358,0.284,0.0,7,0.183,-8.285,1,0.0285,99.796,3,0.276
WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,"Future, Drake, Tems",I NEVER LIKED YOU,2022-04-29,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",85,189893,0.314,0.463,0.642,0.0,1,0.0686,-4.474,1,0.34,83.389,4,0.339
Bored,04sN26COy28wTXYj3dMoiZ,Billie Eilish,Bored,2017-03-30,"['art pop', 'pop']",85,180933,0.896,0.614,0.318,0.00239,7,0.0795,-12.695,1,0.0478,119.959,4,0.112
This Town,0qvzXomUDJVaUboy2wMfiS,Niall Horan,Flicker (Deluxe),2017-10-20,['pop'],85,232852,0.712,0.677,0.401,0.0,9,0.116,-8.467,1,0.0308,111.825,4,0.195
Eyes Closed,3p7XQpdt8Dr6oMXSvRZ9bg,Ed Sheeran,- (Deluxe),2023-05-05,"['pop', 'singer-songwriter pop', 'uk pop']",84,194848,0.246,0.793,0.52,0.0,11,0.0878,-7.457,0,0.0696,107.014,4,0.309
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,17cia5k4BpGVlyEfqrFH50,Olivia Rodrigo,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,['pop'],86,205483,0.855,0.518,0.368,4.9e-06,11,0.119,-7.76,0,0.0353,141.934,4,0.234
Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,Adele,Easy On Me,2021-10-14,"['british soul', 'pop', 'pop soul', 'uk pop']",84,224694,0.578,0.604,0.366,0.0,5,0.133,-7.519,1,0.0282,141.981,4,0.13
willow,0lx2cLdOt3piJbcaXIV74f,Taylor Swift,evermore,2020-12-11,['pop'],84,214706,0.833,0.392,0.574,0.00179,7,0.145,-9.195,1,0.17,81.112,4,0.529
In My Room,7CiDwKE62N6ey3LyG6s7xc,Chance Peña,In My Room,2022-05-06,['singer-songwriter pop'],84,177609,0.521,0.408,0.338,0.000639,4,0.0732,-13.626,1,0.0431,133.943,3,0.1
Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,2022-06-10,['viral pop'],84,233456,0.891,0.44,0.317,4.78e-06,8,0.141,-9.258,1,0.0531,169.914,3,0.268
Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, Giveon",Justice,2021-03-19,"['canadian pop', 'pop']",84,198081,0.321,0.677,0.696,0.0,0,0.42,-6.181,1,0.119,90.03,4,0.464
Used To Be Young,41WQUSINanQHfhfKpFDsms,Miley Cyrus,Endless Summer Vacation,2023-08-18,['pop'],83,191185,0.6,0.451,0.632,0.0,4,0.139,-3.843,1,0.0475,147.06,4,0.455
